,Time,User,Tweet
0,2022-10-16 08:01:31+00:00,PIRANH_,"@mr_clever17 덱스 때리고 학대할 땐 언제고 최고다 진자 착하다, 잘한다 온갖 예쁘단 말을 다해주면서 다정하게 굴거가태요 덱스 다리 사이에서 움직이는 맷 뒷통수 넘나 꼴려요 ㅠ"
1,2022-10-15 14:23:11+00:00,JojJng,"란나기 히요리 덱스도 하고 키스도 하고 물고 빨고 다 하는데 사귀지는 않았으면 함
사귀면 더 이상 가족의 풋풋함이 남지 않을테니까....... 그러니까 사귀는거 빼고는 다 하는 사이 히요리나기사"
2,2022-10-15 10:33:50+00:00,MGH33MS,@REN_bite2 마자요 마자요 렌 공부 잘하는거면 두꺼운 호그와트 책 사이에 나뭇잎 끼워놔도 잘 압착되어서 마를 거 같죠 ㅋ 좋은 책갈피가 될 수 있을거야ㅇ/ㅇ 아 머글이었다면 미식축구도 ㅋㅋㅋ 좋아할 거 같아요. 끄덕끄덕 호그와트 덱스... 실전 좋아하고 마법 응용하는거 좋아하고 장난치는 것도 좋아하고
3,2022-10-15 09:35:19+00:00,MGH33MS,@HAIM_BITE 헐 하임 슬데 짱잘어울려요ㅠㅠㅠㅠㅠ마저 기숙사 사이 별로 안조앗던거 같은데ㅋㅋㅋ근데 덱스가 1도 신경 안 써서 하임네 방 몰래 들어가서 놀자고 하거나 평소에도 아는척 하거나 들러붙거나(ㅋㅋ) 하지 않을까 싶어요 ㅋㅋㅋ 가족끼리 알고 지내서 예전부터 그랬다 해도 어울릴거 같기두 하구 ㅋㅋ
4,2022-10-11 14:53:12+00:00,MGH33MS,@haigodeido ㅜ 조아요 ㅠ 모닥불 타닥타닥... 불멍하기...ㅜ 덱스는 조금만 옛날거라두 다 신기해 할거같아요 ㅋㅋ 같이 누워서... 노란 불빛 일렁이는거 보며 빗소리 사이 흘러나오는 노래 허밍하기... 아가일이 가사 알려주면 금방 따라불러요 ㅋㅋ 좀 서툴지만은~~ 따라해보면서
5,2022-10-08 17:24:08+00:00,Cockritch,"""수프가게에서 둘이 재밌어보이던데...""
""대체 왜 그래?""
""요즘 나랑 사이 안좋잖아, 덱스.""
""네가 노력을 안하니까 그렇지.""
""그날 장미꽃 나도 주려고 했어!""

스콧이 식탁 위에 있던 꽃병을 바닥에 집어던지고 쨍그랑 소리와 함께 유리조각이 흩어짐"
