,Time,User,Tweet
22,2022-10-17 20:10:06+00:00,postfreshtape,"다시 눈 떴을 땐 마침 사라 담당했던 의사가 앞에 와서 케이지 살피고 있었음 옆에는 센터 직원도 한 명 와있을듯 케이지가 진정제 기운에 잠깐 상황 파악하다가 벌떡 일어나서 

사라는요?

하고 묻는데 사라 학생은 일단 깨어나 봐야 안다고. 지금으로썬 잘 진정됐지만"
23,2022-10-17 20:00:35+00:00,hsunijini,RT @realtruth2027: 이재명 대표가 방위산업체 주식이 있나보지? 그게 자랑이지 문제야? 나도 한국친척들이 물어보면 방위산업체 주식사라고 추천하는데.  대한민국은 자본주의가 아님. 보수라는 놈들이 주식투자 현명하게 하는 걸 욕하는 나라.
24,2022-10-17 19:34:52+00:00,__MIcapNT__,RT @realtruth2027: 이재명 대표가 방위산업체 주식이 있나보지? 그게 자랑이지 문제야? 나도 한국친척들이 물어보면 방위산업체 주식사라고 추천하는데.  대한민국은 자본주의가 아님. 보수라는 놈들이 주식투자 현명하게 하는 걸 욕하는 나라.
25,2022-10-17 19:33:52+00:00,For_Orior,"건배사라, 파티는 낮을 되찾은 후에 하지요. 그때는 럭스등 대신 태양 아래에서 건배를 할 수 있을테니까요. (네 말에 아, 하는 짧은 숨을 뱉더니) 그러면 저도 히스라고 불러야겠습니다."
26,2022-10-17 19:30:56+00:00,postfreshtape,"사라 잠든거 확인하고 가이드들 전부 녹초돼서 이게 무슨 일이야...얘 A맞아? S아니야? 얌전히 있는데 이렇게 진정이 늦게 될수가 있냐고 몇 명이 달라붙었는데...자기들끼리 웅성거리는데 
케이지보고"
27,2022-10-17 19:15:11+00:00,yts215,RT @realtruth2027: 이재명 대표가 방위산업체 주식이 있나보지? 그게 자랑이지 문제야? 나도 한국친척들이 물어보면 방위산업체 주식사라고 추천하는데.  대한민국은 자본주의가 아님. 보수라는 놈들이 주식투자 현명하게 하는 걸 욕하는 나라.
28,2022-10-17 19:12:54+00:00,jennykyungeuny,RT @realtruth2027: 이재명 대표가 방위산업체 주식이 있나보지? 그게 자랑이지 문제야? 나도 한국친척들이 물어보면 방위산업체 주식사라고 추천하는데.  대한민국은 자본주의가 아님. 보수라는 놈들이 주식투자 현명하게 하는 걸 욕하는 나라.
29,2022-10-17 19:11:28+00:00,RanSaraispoison,하... 저것도 데스게임이나 나갔으니까 알 수 있었지... 평화로운 세계관에선 걍 사라야 좋아해라는 말에 감정 꾹꾹 눌러담아서 표현하는 거 정도 밖에 못한다는 게... ... .. 평범한 고닥생이 사랑하는 여자를 위해 뭘... 더 하겠어....
30,2022-10-17 19:10:03+00:00,fromChidouin,"치도인 사라를 향한 애정 
이것도 골때림
애정이라는 걸 체감하고 아 이게 애정이구나 하고 스스로 감정을 정립하기까지 얼마나...... 길고 혼란스런 시간이 있었겠니 카이야"
31,2022-10-17 19:06:11+00:00,6Xf8a,RT @realtruth2027: 이재명 대표가 방위산업체 주식이 있나보지? 그게 자랑이지 문제야? 나도 한국친척들이 물어보면 방위산업체 주식사라고 추천하는데.  대한민국은 자본주의가 아님. 보수라는 놈들이 주식투자 현명하게 하는 걸 욕하는 나라.
32,2022-10-17 19:00:42+00:00,RanSaraispoison,"사라아버님... 
하지만 자고로 완소완벽사무라이걸에겐 헌신순애순애키링솜남이 있어야 어울리지 않을까요¿"
33,2022-10-17 18:58:19+00:00,welcom2paranoia,"@_SAMURA10NNNA_ 아니! 너는 너야. 그 안의 너도 너고. 인간이 인간을 죽이지 못할 건 뭔데? 다수결로 죽이지 못할 건 또 뭐고? 이미 그러고 있잖아! 네 무리에 걸맞을 것 같은 인간을 멋대로 신뢰하고, 걸맞지 않는 인간은 철저히 의심하고 도태시키다가 결국 죽음의 구렁텅이로 밀어넣었잖아! 사라!"
34,2022-10-17 18:33:49+00:00,ChidouinKG,"RT @postfreshtape: 엄마도 운전하다 놀라서 삐끗삐끗하고 사라가 뭐야 창문이 갑자기 왜깨져? 하기도 전에 정말 싸구려 B급 영화처럼..차창 다깨지고 앞유리도 쩌적쩌적 하더니 깨지려고 해서 사라가 엄마 빨리 차세우라고 하는데 엄마가 

차…"
35,2022-10-17 18:32:41+00:00,postfreshtape,"엄마도 운전하다 놀라서 삐끗삐끗하고 사라가 뭐야 창문이 갑자기 왜깨져? 하기도 전에 정말 싸구려 B급 영화처럼..차창 다깨지고 앞유리도 쩌적쩌적 하더니 깨지려고 해서 사라가 엄마 빨리 차세우라고 하는데 엄마가 

차가 안멈춰...

한 말을 마지막으로 사고 나고 사라 기억끊김"
36,2022-10-17 18:26:51+00:00,ChidouinKG,"아기의고통에나도발동동굴리는중
아기야
공주야
사라야.. . . . ."
37,2022-10-17 18:17:05+00:00,HongGyeongsun,RT @realtruth2027: 이재명 대표가 방위산업체 주식이 있나보지? 그게 자랑이지 문제야? 나도 한국친척들이 물어보면 방위산업체 주식사라고 추천하는데.  대한민국은 자본주의가 아님. 보수라는 놈들이 주식투자 현명하게 하는 걸 욕하는 나라.
38,2022-10-17 18:13:25+00:00,wantyouronly,그러니까 네 방식대로 최선을 다해 봐 사라야
39,2022-10-17 18:02:26+00:00,wb67147,"RT @hawaiid5: 면접.
자신을 큰 프로젝트 입찰을 따내야 하는 회사라고 생각하세요. 지원하는 회사는 클라이언트사라고 생각하시구요. “우리 회사는 경험이 풍부하고, 이번 입찰을 따내면 올해 우리회사 매출 100억원을 달성할 수 있습니다. 꼭…"
40,2022-10-17 17:53:52+00:00,imchoon3,@sochucity 가불지마라 민초마야~형 무서운 사라미야 ㅎㅎ~
41,2022-10-17 17:47:15+00:00,postfreshtape,"좋아 더 원해 더해줬으면 좋겠어 계속 이렇게 안아줘 끝내지마...
하지만 항상 그렇듯 가이딩은 부족한 것 같은 시점에서 끝나고 케이지가 이제 좀 진정됐냐고 물어보는데 사라가 고개 푹 숙이더니 

...불공평해요.

하는거임..케이지는 이걸 뭐라고 해줘야 하나 뒷목만 긁다가 그니까 내가 말했지."
42,2022-10-17 17:43:51+00:00,_SAMURA10NNNA_,@welcom2paranoia ... .. 사람을 죽이는 재능 따위 난 없어. 그건 시뮬레이션 안에 존재하는 다른 사라잖아.. 인간이 인간을 어떻게 죽이냐고. 애초에 다수결로 사람을 죽이는 것도 말이 이상해. 너희들이 원하는 쇼 때문에 목숨까지 걸어야 하냐고...! (흔들리는 눈빛으로 비웃듯이 내려다보는 너를 쳐다본다.)
43,2022-10-17 17:42:47+00:00,kimcy1349982,"RT @KKIMIGASHINE: 케이지 웃긴게 다른 남자들 자기객관화 안된다 싶으면 바로 기강잡아줌
칸나쨩이 고르는 건 네가 아냐 사라쨩이야 
란마루넌질투하고있을뿐이야 (난사라를구할수있다고!) 너한텐무리야"
44,2022-10-17 17:38:28+00:00,postfreshtape,"뒤에서 콱 안아버림
사라가 바로 이거 놔달라고 하는데 

야 밖에서 들으면 오해하겠다...

싫어요! 놔요!

나참..."
45,2022-10-17 17:21:11+00:00,postfreshtape,"저희 쪽에서 통지할 수도 있는데 아무래도 사라 학생이 직접 말하는 게 더 효과가 좋겠죠. 어때요?

네...제가 한 번 말해볼게요. 어떻게 물어보면 좋을까요?

단도직입적으로 물어봐야 돼요. 두 가지 경우에 첫번째 경우라면 시간이 지나면서 자유롭게 안정이 되는데, 두번째면 큰일나요."
46,2022-10-17 17:19:03+00:00,cap88176475,"죠는 나오처럼 외부인이었고 데스게임에 참여해선 안되는 이레귤러인 셈인데
사라의 15.5라는 압도적인 승률이 사라의 무정함 덕이었다고 치면
그 이레귤러가 원래 시뮬레이션대로 이루어져야 했을 데스게임을 완전히 망쳐놨다는 게 돼서"
47,2022-10-17 17:14:14+00:00,bobaehimdeulda,RT @nejug4: 야카님(Yakamashii_HS)께 케이사라를 커미션 넣었어요...ㅠㅠ 슬쩍 자랑을... https://t.co/bASfznq4EL
48,2022-10-17 16:56:17+00:00,gldrngldrn05,"@ALL_1WANNAD0 귀여워...사라한테 뽀뽀오백번할래...(사라 : 으 
그럼 뒤에서 끌어안구 혼자마시게 놔둬도되겟냐고 질척거려야지...
하...
너무귀여움 이여자"
49,2022-10-17 16:42:00+00:00,LoVe_Hc06,내 탐라 러브바께 업음 다 자나바 러브야 사라헤
50,2022-10-17 16:37:41+00:00,gugbabjyo,"네죽 첨에봣을땐 얘네전부뭐야? 사라랑죠가빨리탈출이나햇으면.... 이러다가
말도않되. 죽지말란말이야!!!!!!!!!!!! 하면서 모든 캐들을 짠하게 바라봄 https://t.co/SJFeTGRSCv"
51,2022-10-17 16:37:16+00:00,yelioon__dx,"RT @01S31771183: 케이지 진짜 뭘 어떻게 해줘야하는지 하나도 모르겠음 ㅋㅋㅋ 
감싸주면 정색하면서 그만두라고 오히려 사라를 말림
근데 안 감싸주면 실망한 표정으로 조용히 사라를 바라봄 진짜 내가 어느 장단에 맞춰 춤추면 됨??? 오마와리…"
52,2022-10-17 16:36:47+00:00,postfreshtape,"케이지가 손 내미니까 사라가 손 올리고..

근데 너 어제 보니까 내내 눈 감고 있더라.

....감아야 하는 거 아니에요?

네 아닌데요.

...몰랐어요..

아무도 말 안해주면 모르지.
..음~ 미안한데 그냥 다시 일어나볼래? 창 앞으로 가봐.

어..네."
53,2022-10-17 16:35:37+00:00,steahh,RT @realtruth2027: 이재명 대표가 방위산업체 주식이 있나보지? 그게 자랑이지 문제야? 나도 한국친척들이 물어보면 방위산업체 주식사라고 추천하는데.  대한민국은 자본주의가 아님. 보수라는 놈들이 주식투자 현명하게 하는 걸 욕하는 나라.
54,2022-10-17 16:25:53+00:00,kyww0555,"RT @rofmaoago: DAY1 참가자

스즈야 아키, 츠키노 미토, 히구치 카에데, 켄모치 토우야, 후시미 가쿠, 유우히 리리, 이에나가 무기, 시스터 클레어, 마치다 치마, 안쥬 카트리나, 리제 헬레스타, 나가오 케이,  겐즈키 토지로, 카이…"
55,2022-10-17 16:19:36+00:00,d0udgPAejqjbXOu,아이고 사라야
56,2022-10-17 16:14:35+00:00,emerald2010328,RT @realtruth2027: 이재명 대표가 방위산업체 주식이 있나보지? 그게 자랑이지 문제야? 나도 한국친척들이 물어보면 방위산업체 주식사라고 추천하는데.  대한민국은 자본주의가 아님. 보수라는 놈들이 주식투자 현명하게 하는 걸 욕하는 나라.
57,2022-10-17 16:11:16+00:00,jxxhyzn1,RT @bbk02140309: @jxxhyzn1 우리 준표여자칭구 재푸!!! 너도 날 여름방학 때 즐겁게 해준 사라미야. 너 때문에 트이터 들어왓엇다고~ 근데 너 너무 욱김 진차 웃수저 아니 그리고 훠궈 어캐 함? 아 진자 그것만 하면 혈압 오름.…
58,2022-10-17 16:08:44+00:00,time_155,"RT @mimiming2323: #네가죽어 
미도사라 
너한테 기대하고 있는 건 이런 게 아니야 https://t.co/ggmaLFfiwR"
59,2022-10-17 16:06:09+00:00,altimeterrrr,@ALL_1WANNAD0 너무 귀여워 ~ 와락 떠드는 거 돌려서 뒤로 안은 다음에 어깨에 턱 텁텁 얹고 벤까지 뒤뚱뒤뚱 걸어갈 거예요 이 아기 햄스터 !!! 오후 늦게까지 완전 쌉가 그러다가 먼저 보내기 아쉬워서 슬쩍 와인 꺼내줄 것 같아요 ㅋ ㅋ ㅋ ㅋ ㅋㅋ ㅋ하 ~ ~ ... ... 사라 얼마나 마셔야 취하나요 주사는 뭔가요
60,2022-10-17 16:04:18+00:00,bbk02140309,@jxxhyzn1 우리 준표여자칭구 재푸!!! 너도 날 여름방학 때 즐겁게 해준 사라미야. 너 때문에 트이터 들어왓엇다고~ 근데 너 너무 욱김 진차 웃수저 아니 그리고 훠궈 어캐 함? 아 진자 그것만 하면 혈압 오름. 나주에 만나면 강의 꼭 해조라 사라헤♡
61,2022-10-17 15:55:31+00:00,cb_mxf,악!!! 미쳣나바 내꺼 젤 긴거 같애... 사라애 난 너뿐야🫶🏻🤍🤍😍😍 https://t.co/Ih7Zcein2G
